RA,ANO,FASE,TURMA,IDADE,GENERO,ANO_INGRESSO,ANOS_NA_PM,INSTITUICAO,INSTITUICAO_GRUPO,PEDRA,INDE,IAN,IDA,IEG,IAA,IPS,IPP,IPV,MAT,POR,ING,FASE_IDEAL,DEFASAGEM,CLASSE_DEFASAGEM,EM_DEFASAGEM,PONTO_VIRADA,N_AVALIACOES,SEM_AVALIACAO,IAA_ZERADO
RA-1,2022,7.0,A,19.0,Feminino,2016,6,Escola Pública,Pública,Quartzo,5.783,5.0,4.0,4.1,8.3,5.6,,7.278,2.7,3.5,6.0,8.0,-1,Moderada,1,0.0,4.0,False,0
RA-2,2022,7.0,A,17.0,Feminino,2017,5,Rede Decisão,Privada/Bolsa,Ametista,7.055,10.0,6.8,5.2,8.8,6.3,,6.778,6.3,4.5,9.7,7.0,0,Em fase,0,0.0,4.0,False,0
RA-3,2022,7.0,A,17.0,Feminino,2016,6,Rede Decisão,Privada/Bolsa,Ágata,6.591,10.0,5.6,7.9,,5.6,,7.556,5.8,4.0,6.9,7.0,0,Em fase,0,0.0,4.0,False,1
RA-4,2022,7.0,A,17.0,Masculino,2017,5,Rede Decisão,Privada/Bolsa,Quartzo,5.951,10.0,5.0,4.5,8.8,5.6,,5.278,2.8,3.5,8.7,7.0,0,Em fase,0,0.0,4.0,False,0
RA-5,2022,7.0,A,17.0,Feminino,2016,6,Rede Decisão,Privada/Bolsa,Ametista,7.427,10.0,5.2,8.6,7.9,5.6,,7.389,7.0,2.9,5.7,7.0,0,Em fase,0,0.0,4.0,False,0
RA-6,2022,7.0,A,18.0,Feminino,2021,1,Escola Pública,Pública,Quartzo,5.848,5.0,3.3,4.5,7.9,7.5,,7.222,2.3,5.3,2.3,8.0,-1,Moderada,1,0.0,4.0,False,0
RA-7,2022,7.0,A,18.0,Masculino,2017,5,Rede Decisão,Privada/Bolsa,Ágata,6.818,5.0,7.6,8.4,,7.5,,7.667,8.2,5.7,9.0,8.0,-1,Moderada,1,0.0,4.0,False,1
RA-8,2022,7.0,A,20.0,Feminino,2018,4,Escola Pública,Pública,Quartzo,4.786,5.0,1.6,4.6,7.1,6.3,,6.278,1.2,0.7,2.9,8.0,-1,Moderada,1,0.0,4.0,False,0
RA-9,2022,7.0,A,18.0,Feminino,2019,3,Escola Pública,Pública,Topázio,8.109,5.0,6.7,9.5,8.8,7.5,,9.5,5.5,6.0,8.7,8.0,-1,Moderada,1,1.0,4.0,False,0
RA-10,2022,7.0,A,18.0,Feminino,2021,1,Escola Pública,Pública,Quartzo,5.784,5.0,4.1,5.2,8.3,5.0,,7.056,3.3,2.6,6.4,8.0,-1,Moderada,1,0.0,4.0,False,0
RA-11,2022,7.0,A,18.0,Feminino,2016,6,Escola Pública,Pública,Quartzo,5.323,5.0,3.0,4.2,9.2,5.0,,6.389,1.8,2.5,4.5,8.0,-1,Moderada,1,0.0,4.0,False,0
RA-12,2022,7.0,A,17.0,Feminino,2020,2,Escola Pública,Pública,Quartzo,4.832,10.0,1.5,4.0,,6.9,,6.389,2.7,1.1,0.7,7.0,0,Em fase,0,0.0,4.0,False,1
RA-13,2022,7.0,A,18.0,Masculino,2016,6,Escola Pública,Pública,Ágata,6.902,5.0,4.7,7.4,7.9,7.5,,8.056,3.5,5.5,5.2,8.0,-1,Moderada,1,0.0,4.0,False,0
RA-14,2022,7.0,D,21.0,Masculino,2022,0,Escola Pública,Pública,Ágata,6.793,5.0,4.0,8.3,7.9,7.5,,7.75,8.0,0.0,,8.0,-1,Moderada,1,0.0,4.0,False,0
RA-15,2022,7.0,D,18.0,Masculino,2022,0,Escola Pública,Pública,Ametista,7.783,5.0,7.3,10.0,8.8,7.5,,7.292,8.0,6.5,,8.0,-1,Moderada,1,0.0,4.0,False,0
RA-16,2022,7.0,D,19.0,Masculino,2022,0,Escola Pública,Pública,Ágata,6.112,5.0,3.5,8.3,7.9,5.0,,6.333,7.0,0.0,,8.0,-1,Moderada,1,0.0,4.0,False,0
RA-17,2022,7.0,D,20.0,Masculino,2022,0,Escola Pública,Pública,Topázio,8.068,5.0,7.8,10.0,8.8,7.5,,8.292,9.0,6.5,,8.0,-1,Moderada,1,0.0,4.0,False,0
RA-18,2022,7.0,D,19.0,Masculino,2022,0,Escola Pública,Pública,Ametista,7.226,5.0,9.0,8.7,6.3,6.3,,6.875,9.0,9.0,,8.0,-1,Moderada,1,0.0,4.0,False,0
RA-19,2022,7.0,D,19.0,Feminino,2022,0,Escola Pública,Pública,Ametista,7.665,5.0,8.0,9.5,7.9,7.5,,7.0,7.0,9.0,,8.0,-1,Moderada,1,0.0,4.0,False,0
RA-20,2022,7.0,D,19.0,Feminino,2022,0,Escola Pública,Pública,Ametista,7.535,5.0,7.8,10.0,7.1,6.3,,7.167,9.0,6.5,,8.0,-1,Moderada,1,0.0,4.0,False,0
RA-21,2022,7.0,D,18.0,Masculino,2022,0,Escola Pública,Pública,Ágata,6.945,5.0,3.8,9.2,9.6,7.5,,7.25,7.0,0.5,,8.0,-1,Moderada,1,0.0,4.0,False,0
RA-22,2022,6.0,A,17.0,Feminino,2019,3,Rede Decisão,Privada/Bolsa,Ametista,7.474,5.0,6.7,7.4,8.3,8.1,,8.833,9.0,3.1,7.8,7.0,-1,Moderada,1,1.0,4.0,False,0
RA-23,2022,6.0,A,17.0,Masculino,2021,1,Escola Pública,Pública,Ametista,7.677,5.0,6.7,8.2,8.3,8.1,,8.556,7.2,4.7,8.2,7.0,-1,Moderada,1,1.0,4.0,False,0
RA-24,2022,6.0,A,17.0,Feminino,2021,1,Rede Decisão,Privada/Bolsa,Topázio,8.087,5.0,8.6,7.9,9.2,6.9,,9.111,10.0,6.3,9.7,7.0,-1,Moderada,1,1.0,4.0,False,0
RA-25,2022,6.0,A,17.0,Feminino,2021,1,Escola Pública,Pública,Ametista,7.979,5.0,6.9,8.3,8.3,8.8,,9.667,9.2,3.8,7.7,7.0,-1,Moderada,1,1.0,4.0,False,0
RA-26,2022,6.0,A,17.0,Masculino,2022,0,Escola Pública,Pública,Topázio,8.677,5.0,8.0,8.8,9.6,10.0,,10.0,9.5,4.4,10.0,7.0,-1,Moderada,1,1.0,4.0,False,0
RA-27,2022,6.0,A,17.0,Masculino,2016,6,Rede Decisão,Privada/Bolsa,Ametista,7.124,5.0,8.0,7.6,,8.1,,9.111,7.7,6.3,10.0,7.0,-1,Moderada,1,1.0,4.0,False,1
RA-28,2022,6.0,A,17.0,Feminino,2019,3,Escola Pública,Pública,Ágata,6.242,5.0,5.0,6.1,7.9,7.5,,6.333,8.2,1.5,5.3,7.0,-1,Moderada,1,0.0,4.0,False,0
RA-29,2022,6.0,A,17.0,Masculino,2022,0,Escola Pública,Pública,Quartzo,4.985,5.0,3.7,4.0,,8.8,,7.611,6.3,1.1,3.8,7.0,-1,Moderada,1,0.0,4.0,False,1
RA-30,2022,6.0,A,16.0,Feminino,2021,1,Escola Pública,Pública,Ametista,7.605,10.0,7.5,6.4,8.8,7.5,,7.333,8.5,4.4,9.7,6.0,0,Em fase,0,0.0,4.0,False,0
RA-31,2022,6.0,A,17.0,Feminino,2019,3,Rede Decisão,Privada/Bolsa,Topázio,8.843,5.0,8.0,9.5,10.0,9.4,,10.0,9.0,5.7,9.3,7.0,-1,Moderada,1,1.0,4.0,False,0
RA-32,2022,6.0,A,16.0,Feminino,2018,4,Rede Decisão,Privada/Bolsa,Ametista,7.37,10.0,6.1,5.2,8.8,8.8,,7.944,5.7,3.6,8.9,6.0,0,Em fase,0,0.0,4.0,False,0
RA-33,2022,6.0,A,17.0,Feminino,2020,2,Escola Pública,Pública,Quartzo,4.952,5.0,4.8,4.6,,7.5,,6.0,9.0,1.6,3.7,7.0,-1,Moderada,1,0.0,4.0,False,1
RA-34,2022,6.0,A,17.0,Masculino,2016,6,Rede Decisão,Privada/Bolsa,Ágata,6.259,5.0,3.8,4.8,9.6,8.1,,7.278,4.7,4.0,2.8,7.0,-1,Moderada,1,0.0,4.0,False,0
RA-35,2022,6.0,A,17.0,Feminino,2019,3,Rede Decisão,Privada/Bolsa,Topázio,8.965,5.0,8.5,9.6,10.0,9.4,,10.0,9.0,7.1,9.3,7.0,-1,Moderada,1,1.0,4.0,False,0
RA-36,2022,6.0,A,17.0,Feminino,2019,3,Rede Decisão,Privada/Bolsa,Ametista,7.876,5.0,6.8,9.0,9.2,6.9,,8.944,8.5,4.3,7.8,7.0,-1,Moderada,1,1.0,4.0,False,0
RA-37,2022,6.0,A,17.0,Feminino,2019,3,Rede Decisão,Privada/Bolsa,Quartzo,4.95,5.0,5.9,5.4,,5.0,,5.222,2.3,5.3,10.0,7.0,-1,Moderada,1,0.0,4.0,False,1
RA-38,2022,6.0,A,17.0,Feminino,2017,5,Rede Decisão,Privada/Bolsa,Topázio,8.523,5.0,8.6,8.9,9.2,7.5,,9.833,9.0,7.0,9.7,7.0,-1,Moderada,1,1.0,4.0,False,0
RA-39,2022,6.0,A,16.0,Feminino,2017,5,Rede Decisão,Privada/Bolsa,Ágata,6.033,10.0,6.9,4.8,,6.9,,6.111,7.7,5.1,7.8,6.0,0,Em fase,0,0.0,4.0,False,1
RA-40,2022,5.0,A,16.0,Feminino,2016,6,Rede Decisão,Privada/Bolsa,Ametista,7.203,5.0,6.8,7.8,7.9,7.5,,7.75,4.7,7.3,8.4,6.0,-1,Moderada,1,0.0,3.0,False,0
RA-41,2022,5.0,A,17.0,Masculino,2018,4,Escola Pública,Pública,Quartzo,5.581,5.0,5.6,6.1,9.2,5.0,,4.375,6.3,2.5,8.0,7.0,-2,Moderada,1,0.0,3.0,False,0
RA-42,2022,5.0,A,15.0,Masculino,2019,3,Rede Decisão,Privada/Bolsa,Ágata,6.72,10.0,4.8,7.9,8.3,5.6,,6.083,3.7,4.5,6.2,5.0,0,Em fase,0,0.0,3.0,False,0
RA-43,2022,5.0,A,16.0,Feminino,2019,3,Escola Pública,Pública,Quartzo,5.486,5.0,4.3,6.5,6.3,5.6,,5.958,4.0,5.8,3.2,6.0,-1,Moderada,1,0.0,3.0,False,0
RA-44,2022,5.0,A,17.0,Feminino,2021,1,Escola Pública,Pública,Quartzo,5.542,5.0,3.0,5.9,5.0,7.5,,7.292,2.3,3.5,3.2,7.0,-2,Moderada,1,0.0,3.0,False,0
RA-45,2022,5.0,A,15.0,Feminino,2019,3,Rede Decisão,Privada/Bolsa,Ametista,7.591,10.0,6.8,8.9,7.9,5.6,,7.417,6.3,5.2,8.8,5.0,0,Em fase,0,0.0,3.0,False,0
RA-46,2022,5.0,A,17.0,Feminino,2022,0,Escola Pública,Pública,Ágata,6.048,5.0,2.1,8.4,8.8,6.3,,7.083,2.8,2.8,0.7,7.0,-2,Moderada,1,0.0,3.0,False,0
RA-47,2022,5.0,A,17.0,Feminino,2022,0,Escola Pública,Pública,Quartzo,5.677,5.0,2.1,6.3,7.9,7.5,,7.042,2.5,2.2,1.5,7.0,-2,Moderada,1,0.0,3.0,False,0
RA-48,2022,5.0,A,15.0,Feminino,2017,5,Rede Decisão,Privada/Bolsa,Ametista,8.006,10.0,8.1,8.4,6.7,7.5,,8.5,6.7,8.0,9.5,5.0,0,Em fase,0,1.0,3.0,False,0
RA-49,2022,5.0,A,17.0,Feminino,2022,0,Escola Pública,Pública,Ágata,6.304,5.0,3.9,7.4,7.5,7.5,,7.042,1.5,4.2,6.2,7.0,-2,Moderada,1,0.0,3.0,False,0
RA-50,2022,5.0,A,18.0,Feminino,2022,0,Escola Pública,Pública,Ametista,7.138,2.5,7.8,8.4,7.5,7.5,,7.542,6.5,7.3,9.7,8.0,-3,Severa,1,0.0,3.0,False,0
RA-51,2022,5.0,B,17.0,Feminino,2022,0,Escola Pública,Pública,Ágata,6.488,5.0,5.0,7.6,8.8,7.5,,6.5,4.5,4.5,6.0,7.0,-2,Moderada,1,0.0,3.0,False,0
