RA,FASE,TURMA,IDADE,DEFASAGEM,INDE,IDA,IEG,PROB_RISCO,FAIXA
RA-1275,0.0,ALFA A - G0/G1,8.0,0,7.611366666700001,8.0,8.6666666665,0.5370319538881057,Alto
RA-1276,0.0,ALFA A - G0/G1,8.0,0,8.002866666700001,8.0,9.3333333335,0.5282887044926317,Alto
RA-1277,0.0,ALFA A - G0/G1,8.0,0,7.952200000100001,8.0,9.0833333335,0.5211030255125655,Alto
RA-868,0.0,ALFA A - G0/G1,8.0,-1,7.156366666600001,7.0,9.75,0.5846275645170214,Alto
RA-1278,0.0,ALFA A - G0/G1,9.0,-1,5.444199999900001,7.5,4.1666666665,0.851511607973307,Muito alto
RA-1279,0.0,ALFA B - G2/G3,9.0,-1,8.0822,8.25,10.0,0.7751577341847335,Muito alto
RA-861,0.0,ALFA B - G2/G3,9.0,-1,8.959700000000002,10.0,10.0,0.6925313224791835,Alto
RA-862,0.0,ALFA B - G2/G3,10.0,-2,7.346677272700001,7.5,8.6136363635,0.9288111041736419,Muito alto
RA-1280,0.0,ALFA B - G2/G3,9.0,-1,8.152624242500002,8.5,9.5454545455,0.7476778471982861,Muito alto
RA-1281,0.0,ALFA B - G2/G3,9.0,-1,7.982890909100001,9.25,9.5454545455,0.7824416952460346,Muito alto
RA-895,0.0,ALFA B - G2/G3,9.0,-1,8.2579575757,9.5,9.5454545455,0.7497552873644631,Muito alto
RA-884,0.0,ALFA B - G2/G3,8.0,-1,8.0345030302,8.75,8.818181818,0.45656013930283224,Atenção
RA-1282,0.0,ALFA B - G2/G3,9.0,-1,7.8769272727000015,9.25,8.1136363635,0.8119166767700461,Muito alto
RA-889,0.0,ALFA B - G2/G3,9.0,-1,8.191290909100001,9.75,9.2954545455,0.759057692511564,Muito alto
RA-867,0.0,ALFA B - G2/G3,9.0,-1,7.583018181800001,8.5,7.409090909,0.8429325704210391,Muito alto
RA-1283,0.0,ALFA B - G2/G3,10.0,-2,8.3033538462,9.0,9.230769231,0.9140587854999181,Muito alto
RA-891,0.0,ALFA B - G2/G3,10.0,-1,8.035957575700001,8.75,9.0454545455,0.7084093997524645,Muito alto
RA-1284,0.0,ALFA C - G0/G1,8.0,0,8.3800152174,10.0,9.347826087,0.4892790596650024,Atenção
RA-1012,0.0,ALFA C - G0/G1,9.0,-1,8.057128571400002,9.75,9.523809524,0.5882354009197052,Alto
